City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
255,alexandria,31.2156,29.9553,293.45,75,0,1.94,EG,2023-06-13 02:36:36
256,chichimila,20.6167,-88.2167,299.37,89,55,1.69,MX,2023-06-13 02:36:36
257,vilyuysk,63.7553,121.6247,288.0,31,1,5.33,RU,2023-06-13 02:28:02
258,morwell,-38.2333,146.4,286.71,82,100,0.64,AU,2023-06-13 02:36:36
259,tulun,54.5611,100.5792,283.34,94,100,3.85,RU,2023-06-13 02:36:36
260,joshimath,30.5667,79.5667,296.44,57,28,1.91,IN,2023-06-13 02:36:36
261,northam,51.0333,-4.2167,288.52,97,24,0.45,GB,2023-06-13 02:34:22
262,port augusta,-32.5,137.7667,289.5,51,8,8.18,AU,2023-06-13 02:28:08
263,taulaga,-11.0553,-171.0883,301.55,77,11,7.05,AS,2023-06-13 02:36:37
264,yarmouth,41.7057,-70.2286,292.18,91,100,4.12,US,2023-06-13 02:32:15
265,saacow,1.6279,42.4407,295.45,89,84,3.54,SO,2023-06-13 02:36:37
266,ocos,14.5094,-92.1933,299.25,76,100,2.29,GT,2023-06-13 02:36:37
267,zadonsk,52.3904,38.9261,283.96,71,100,6.31,RU,2023-06-13 02:36:37
268,hiratacho,35.4333,132.8167,300.13,69,75,5.66,JP,2023-06-13 02:36:37
269,viedma,-40.8135,-62.9967,278.62,49,7,4.3,AR,2023-06-13 02:29:11
270,watertown,42.3709,-71.1828,294.16,87,100,3.13,US,2023-06-13 02:36:37
271,la foa,-21.7108,165.8276,296.89,52,13,3.14,NC,2023-06-13 02:35:31
272,galveston,29.3669,-94.9669,301.48,85,0,5.66,US,2023-06-13 02:34:35
273,ocean shores,46.9737,-124.1563,290.15,84,0,6.69,US,2023-06-13 02:36:38
274,luderitz,-26.6481,15.1594,285.4,81,0,4.21,NA,2023-06-13 02:34:42
275,cruzeiro do sul,-29.5128,-51.9853,279.55,91,20,1.13,BR,2023-06-13 02:36:38
276,ongwediva,-17.7833,15.7667,283.13,20,6,3.18,NA,2023-06-13 02:36:38
277,chita,52.0333,113.55,293.09,46,96,3.0,RU,2023-06-13 02:35:57
278,mar del plata,-38.0023,-57.5575,280.42,90,40,1.54,AR,2023-06-13 02:30:28
279,nantucket,41.2835,-70.0995,292.18,100,100,6.17,US,2023-06-13 02:36:38
280,sumbe,-11.2061,13.8437,293.62,87,67,0.53,AO,2023-06-13 02:36:38
281,wanning,18.8003,110.3967,304.46,67,100,3.13,CN,2023-06-13 02:36:38
